zip_code,avg_household_size_adj,pct_below_poverty_level,pct age>65,interaction,case_per_100k,Predicted Y,residuals,latitude,longitude
11104,1.248022205,12,12.857,154.2784946,1719.055094,1331.798488,387.2566061,40.744515,-73.920457
11105,1.427403502,10.6,12.921,136.9589642,1214.488256,1705.577997,-491.0897402,40.778997,-73.906847
11106,1.244844633,13.4,13.581,181.9826395,1537.940203,1520.299745,17.64045778,40.762211,-73.931528
11201,1.05706488,13,11.464,149.0314057,969.3901915,1314.397681,-345.00749,40.693682,-73.989693
11203,1.657501891,16.3,17.960,292.7480086,2487.707254,2232.281857,255.4253965,40.649411,-73.934397
11204,2.254984111,22.8,13.610,310.3167139,2343.526722,2652.186735,-308.6600131,40.618675,-73.984893
11205,1.666862035,29.2,7.464,217.9350469,1419.763807,2135.732548,-715.9687408,40.696771,-73.967061
11206,1.829102506,36.6,10.276,376.1122367,1578.96524,2460.040344,-881.075104,40.702037,-73.942444
11207,1.692659446,28.9,11.425,330.1887531,2032.140217,2312.639221,-280.4990048,40.670361,-73.893848
11208,2.046314285,25.8,9.055,233.6278127,2122.440705,2500.952591,-378.5118853,40.669598,-73.87127
11209,1.29798307,13.3,16.948,225.4031176,1541.093365,1821.132237,-280.038872,40.622352,-74.030431
11210,1.995860242,12.4,13.264,164.4701671,2282.21957,2208.354604,73.86496591,40.628049,-73.946278
11211,1.584817185,26.2,8.591,225.0732772,1819.262551,1925.594418,-106.3318676,40.713507,-73.952578
11212,1.222676607,36.1,13.382,483.0975995,2133.887386,2041.695359,92.19202674,40.662907,-73.912969
11213,1.613749151,23.6,11.468,270.6551022,1897.579003,1918.562889,-20.9838865,40.671034,-73.936357
11214,1.879827138,17.5,16.516,289.0307275,1491.188432,2396.381116,-905.1926836,40.598668,-73.996212
11215,1.437344508,7.1,10.393,73.78713154,795.3703176,1495.358341,-699.988023,40.662688,-73.98674
11216,1.309315586,17.4,11.592,201.6938978,1165.020956,1540.846853,-375.8258968,40.680854,-73.949144
11217,1.326617757,14.6,10.450,152.5688893,1292.052068,1487.255588,-195.2035197,40.682306,-73.978099
11218,1.965916513,19.9,11.811,235.035164,2077.629248,2204.231988,-126.6027397,40.643783,-73.975954
11219,2.638941875,35.5,11.803,419.0085077,2911.057799,3112.602119,-201.5443201,40.632769,-73.996642
11220,2.394595663,29.4,11.013,323.7771714,1446.002321,2742.530394,-1296.528073,40.641307,-74.016251
11221,1.67868485,23.2,10.349,240.0944713,1359.81392,1950.103685,-590.2897644,40.69131,-73.927772
11222,1.102553315,10.6,10.380,110.0317878,1101.611312,1291.460105,-189.8487932,40.728367,-73.945427
11223,1.926015452,20.3,15.763,319.9789703,1895.120371,2481.214589,-586.0942183,40.597427,-73.973039
11224,1.427786382,27.9,25.842,720.9904297,2211.659922,2724.283849,-512.6239262,40.577257,-73.989762
11225,1.43714748,18.6,12.646,235.2087225,1813.797086,1799.791453,14.00563233,40.662236,-73.958951
11226,1.712063812,17.4,11.890,206.8871227,2000.458729,1731.767052,268.6916775,40.64643,-73.956866
11228,1.927548674,13.8,17.391,239.9986665,1309.063431,2470.716751,-1161.65332,40.616863,-74.013196
11229,1.694220255,14.6,17.851,260.6226156,1710.219458,2228.461786,-518.2423279,40.601293,-73.944493
11230,1.89029177,22.9,15.425,353.2371597,2336.233511,2417.777015,-81.54350376,40.622104,-73.965118
11231,1.408565151,15.3,10.635,162.7229489,998.8109394,1713.775866,-714.9649265,40.677916,-74.005154
